PD,STIMU,Rate (Hz),ISI mean (ms),ISI std  (ms),mean mean diff,mean std diff,std mean diff ,std std diff,var diff mean,var std diff,mean mean FR,std mean Fr,seed
0,1,9.125,110.1567,22.6595,3.9003,3.7809,3.9053,5.3077,15.2515,28.1716,0.9125,0.0927,
0,1,9.125,113.3239,18.2886,2.1268,1.5877,2.517,1.8953,6.3351,3.5921,0.9125,0.1053,
0,1,9.125,109.9821,21.0315,2.1104,2.2423,1.0992,1.1206,1.2083,1.2557,0.9125,0.1269,
0,1,9,113.1557,25.4952,3.4561,3.14,1.5995,2.2586,2.5584,5.1013,0.9,0.1225,
0,1,9.5,109.224,20.5538,2.3138,2.2178,2.423,2.5948,5.8711,6.7329,0.95,0.0707,
0,1,8.75,113.9883,19.7788,1.9807,2.3988,2.1603,3.689,4.6671,13.6089,0.875,0.1639,
0,1,9.375,109.7133,15.1531,0.2077,1.4016,1.4765,1.364,2.18,1.8605,0.9375,0.1218,
0,1,9.625,109.8793,21.5781,2.9099,2.7336,0.7837,1.6568,0.6141,2.7451,0.9625,0.0696,
0,1,9.375,110.3407,18.5098,1.8891,1.511,2.0072,2.3644,4.0287,5.5903,0.9375,0.0484,
0,1,9.25,109.3064,14.9937,0.8963,0.3677,0.7422,0.918,0.5509,0.8426,0.925,0.1299,
0,1,8.75,116.2483,18.8643,0.1207,1.5059,1.4792,0.6763,2.1879,0.4574,0.875,0.0968,
0,1,9,112.8754,24.4014,2.9421,3.3193,1.7061,2.1953,2.9108,4.8193,0.9,0.1,
0,1,9.375,108.4726,16.0012,0.8265,0.7602,1.783,1.3267,3.1789,1.7602,0.9375,0.0857,
0,1,9.375,111.4639,22.3393,2.7748,2.8519,2.3901,2.8504,5.7125,8.1246,0.9375,0.0696,
0,1,9.125,109.3398,14.3998,0.41,2.25,1.3352,2.2608,1.7827,5.1113,0.9125,0.1053,
0,1,9,112.861,23.4209,2.6742,2.5682,2.3618,2.4982,5.5783,6.2411,0.9,0.1323,
0,1,9.125,112.561,15.0141,1.9092,2.2778,2.4132,2.4039,5.8237,5.7787,0.9125,0.1053,
0,1,9.5,110.0014,19.8004,1.5443,2.3961,2.3201,2.6741,5.3829,7.1506,0.95,0.0707,
0,1,9.125,112.0833,16.4115,1.7067,2.4743,2.4924,2.5329,6.212,6.4155,0.9125,0.0599,
0,1,9.25,110.5514,17.391,-1.2027,-0.1028,1.941,0.3165,3.7675,0.1002,0.925,0.1785,
0,1,9.25,111.2619,22.1258,0.9624,0.9452,2.1815,2.5268,4.759,6.3847,0.925,0.0829,
0,1,9.25,110.0126,17.3634,2.0175,1.7337,2.1431,2.6882,4.5929,7.2266,0.925,0.109,
0,1,9.5,107.9424,18.8059,2.4925,2.5592,1.1583,1.7458,1.3415,3.0478,0.95,0.1,
0,1,8.875,111.9652,14.4886,0.405,1.8297,0.9415,2.8978,0.8865,8.3973,0.8875,0.1691,
0,1,8.875,116.3693,21.5625,0.8569,1.8875,1.8535,2.4756,3.4354,6.1287,0.8875,0.0927,
0,1,8.625,115.1439,18.2901,2.5818,2.557,2.8742,3.2191,8.2612,10.3626,0.8625,0.1409,
0,1,9.125,110.4643,18.854,2.3589,2.0028,1.7116,2.3039,2.9296,5.3081,0.9125,0.0927,
0,1,9.25,110.46,20.9821,2.535,2.2754,2.4773,3.2599,6.1371,10.6272,0.925,0.0968,
0,1,8.875,116.2449,23.3707,1.639,2.2261,2.1243,2.2422,4.5126,5.0276,0.8875,0.1269,
0,1,8.875,114.4932,19.2396,-0.5074,2.0099,2.4252,3.1301,5.8815,9.7973,0.8875,0.0927,
0,1,9.375,107.9214,18.0603,2.3073,2.9931,2.6574,3.2888,7.0616,10.8163,0.9375,0.0696,
0,1,9.5,110.1307,17.4602,1.1321,1.57,1.0199,0.8992,1.0401,0.8086,0.95,0.05,
0,1,9.5,109.7471,15.7004,1.2894,0.2961,1.4621,0.9368,2.1377,0.8776,0.95,0.1118,
0,1,9.25,106.6943,18.2937,2.7319,2.5217,2.6147,3.289,6.8369,10.8173,0.925,0.1639,
0,1,9,112.31,18.5753,1.776,2.9171,1.2685,3.7655,1.609,14.1792,0.9,0.25,
0,1,9.125,111.3748,17.8573,1.727,1.7055,1.6838,1.791,2.8351,3.2078,0.9125,0.1053,
0,1,9.25,113.5651,18.5335,0.354,1.5017,2.2261,2.6372,4.9554,6.955,0.925,0.1785,
0,1,8.75,116.2699,20.9037,2.296,2.9627,2.3272,3.057,5.4159,9.3451,0.875,0.109,
0,1,9.25,112.0193,17.4989,1.6019,0.8978,2.3261,3.2721,5.4107,10.7065,0.925,0.0661,
0,1,9.625,107.9086,13.4963,0.6547,1.1003,1.3388,2.6327,1.7924,6.9312,0.9625,0.0484,
0,1,9.25,108.9381,19.2734,2.7736,2.2987,2.2723,2.7534,5.1634,7.581,0.925,0.1199,
0,1,8.875,117.249,22.204,1.5538,1.0688,3.2733,3.4146,10.7145,11.6597,0.8875,0.1269,
0,1,7.25,181.6679,88.6134,19.9086,17.3157,66.7653,28.2801,4457.6024,799.7618,0.725,0.2046,
0,1,9.125,109.9388,21.2685,1.4338,1.3597,1.7012,2.1503,2.894,4.6237,0.9125,0.1269,
0,1,9,115.1093,20.2142,-1.0351,2.1798,0.8743,2.9012,0.7644,8.417,0.9,0.1118,
0,1,9.125,114.5769,19.6797,-0.5936,1.5549,1.7375,2.7504,3.0187,7.5644,0.9125,0.1053,
0,1,8.875,115.184,24.929,3.2838,3.1528,3.0818,4.5595,9.4977,20.7886,0.8875,0.1166,
0,1,8.875,115.641,17.1852,0.2402,0.651,1.6561,1.387,2.7428,1.9239,0.8875,0.1053,
0,1,9.5,109.4874,18.0251,1.0785,1.198,1.0059,0.7679,1.0118,0.5896,0.95,0.05,
0,1,8.75,117.522,20.0904,1.8594,1.7531,2.0531,3.0108,4.2154,9.0648,0.875,0.109,
1,1,9,114.5642,17.1178,-2.8402,1.5266,2.5164,4.3509,6.3322,18.9307,0.9,0.0866,
1,1,9,119.2432,20.1948,-2.2814,1.917,3.5162,3.555,12.3634,12.6381,0.9,0.0866,
1,1,8.625,118.0367,22.0341,-3.4977,1.7738,1.3535,1.9496,1.8319,3.8009,0.8625,0.0857,
1,1,8.5,117.6842,20.9844,1.6858,3.0399,5.0347,4.5372,25.3481,20.5859,0.85,0.1323,
