PD flag,PD proba,Stimulation proba (rounded),CTX rate (Hz),ISI mean (ms),ISI std (ms),,,
1,0.999,1,8,130.5514,26.9324,,,
1,0.993,1,7.625,125.0138,29.4792,,,
1,1,1,8.5,116.4186,26.596,,,
1,0.966,1,7.5,126.7403,32.0506,,,
1,1,1,8.125,127.8443,28.2275,,mean,std
1,1,1,8,122.6487,28.1158,pd,0.880078260869565,0.257344575741583
1,0.562,1,7.25,156.2092,58.2682,healthy,0.133067961165049,0.226950597636074
1,0.983,0,4.25,224.6967,33.9104,,,
1,0.992,0,4.125,212.525,34.6934,,,
1,0.243,0,4,253.0717,53.7667,,,
1,0.997,0,4.5,209.2933,30.9736,,,
1,0.997,0,5.125,222.3483,49.1325,,,
1,0.996,0,4.875,221.705,37.7656,,,
1,0.982,0,4.5,215.7217,24.2932,,,
1,0.101,0,3.25,207.965,13.9599,,,
1,0.998,0,5,208.6442,27.1411,,,
1,0.89,1,7.5,133.9358,33.4302,,,
1,1,1,8.5,117.6623,25.6539,,,
1,0.066,0,1.75,70.725,0.495,,,
1,0.862,0,3.75,214.89,25.4666,,,
1,0.992,0,4.125,211.25,36.5005,,,
1,0.999,0,5,215.3033,36.9262,,,
1,0.923,0,3.875,234.6533,31.1321,,,
1,0.987,0,4.25,221.9033,34.5757,,,
1,0.465,0,3.25,187.1433,22.8952,,,
1,0.749,0,3.625,204.4117,23.9703,,,
1,0.268,0,4.375,248.8758,41.4459,,,
1,1,1,8.375,111.223,24.762,,,
1,1,1,8.625,121.8211,30.8389,,,
1,0.988,1,7.625,127.0298,30.6523,,,
1,1,1,8,121.696,25.5975,,,
1,0.998,1,8,128.4677,30.689,,,
1,0.851,1,7.375,136.2053,31.3082,,,
1,0.988,1,7.75,128.5315,32.1692,,,
1,0.998,1,7.75,125.268,27.3098,,,
1,1,1,8,122.7272,28.0749,,,
1,0.99,1,7.625,135.5888,26.3342,,,
1,1,1,8.125,120.628,24.8146,,,
1,0.924,0,4.75,235.4308,41.8513,,,
1,0.013,1,2.625,141.8583,45.138,,,
1,1,1,8.25,116.2268,22.5549,,,
1,1,1,8,118.684,28.4744,,,
1,0.163,1,6.875,133.1143,35.9832,,,
1,1,1,8.125,122.4007,28.4114,,,
1,0.95,1,7.5,131.1102,31.7073,,,
1,0.994,1,7.625,125.7865,28.1898,,,
1,0.986,0,4.375,221.3433,49.1254,,,
1,0.959,1,7.375,127.76,28.9268,,,
1,0.998,1,7.875,129.2513,28.1312,,,
1,0.977,0,2.625,97.4483,11.3143,,,
1,0.926,1,7.375,129.4351,30.9387,,,
1,0.999,1,7.875,122.6535,26.4256,,,
1,0.945,0,4.25,230.26,44.7988,,,
1,0.999,1,7.875,126.8585,27.2349,,,
1,1,1,8.25,123.8287,27.4237,,,
1,0.997,0,4.375,208.7833,40.1499,,,
1,1,1,8.375,115.8313,20.7905,,,
1,0.826,1,7.5,135.9803,34.9362,,,
1,0.996,0,4.5,213.1917,33.4237,,,
1,0.999,1,8.125,124.476,33.0773,,,
1,0.093,1,6.875,141.3823,41.0549,,,
1,0.999,0,5.25,203.6817,37.3027,,,
1,0.995,1,7.75,127.0702,29.8961,,,
1,0.442,1,7.25,150.0003,55.9778,,,
1,0.999,0,4.375,197.5117,33.0257,,,
1,0.999,1,7.75,119.0618,24.9108,,,
1,0.902,1,7.375,129.2828,32.3423,,,
1,1,1,8,121.2132,25.3466,,,
1,1,1,7.875,126.9948,23.3231,,,
1,0.592,0,3.5,194.9483,22.7885,,,
1,1,1,8.25,120.1186,26.8993,,,
1,0.999,1,8,120.0006,30.0797,,,
1,0.999,0,5,207.9942,41.6242,,,
1,1,1,8,123.107,26.9814,,,
1,0.865,1,7.375,128.2925,34.2669,,,
1,0.995,0,4.75,211.2783,27.041,,,
1,1,1,8.125,118.6123,24.3873,,,
1,1,1,8.25,111.6527,20.4855,,,
1,0.675,1,7.25,132.088,34.0151,,,
1,0.212,1,7.125,139.847,41.9237,,,
1,0.993,1,7.625,123.1407,30.1683,,,
1,1,1,8.125,119.9931,22.8161,,,
1,0.826,1,7.5,139.156,34.4166,,,
1,0.999,1,7.75,125.0117,24.5951,,,
1,1,1,8.25,120.8342,28.8078,,,
1,0.995,1,7.625,128.5387,26.6688,,,
1,0.971,1,7.875,125.302,38.9315,,,
1,0.998,1,7.75,121.4207,28.7063,,,
1,1,1,8.25,124.231,29.7695,,,
1,0.998,1,7.875,122.8142,30.2251,,,
1,0.999,1,8,121.441,30.4328,,,
1,0.999,1,8,122.7993,28.9561,,,
1,0.987,1,7.75,131.7092,31.235,,,
1,0.354,1,7,135.0638,33.2579,,,
1,1,1,8.125,123.4433,29.211,,,
1,0.806,1,7.25,129.9223,31.8989,,,
1,0.996,1,7.75,123.5475,30.3269,,,
1,0.126,1,6.5,156.3292,48.8083,,,
1,1,1,8,118.9217,28.7179,,,
1,0.994,1,7.875,124.6785,33.8234,,,
1,1,1,8.5,118.353,24.1421,,,
1,0.999,1,8.25,124.9869,33.5644,,,
1,1,1,8.375,116.1506,26.4543,,,
1,0.998,1,7.75,125.5142,27.6498,,,
1,1,1,8.875,117.4727,26.7461,,,
1,0.988,1,7.625,126.7843,30.7342,,,
1,1,1,8,118.4894,25.3612,,,
1,0.966,1,7.375,129.2857,27.5499,,,
1,0.999,1,7.75,120.7242,24.9358,,,
1,0.997,1,7.5,125.3245,22.7762,,,
1,0.852,1,7.5,134.3927,34.3675,,,
1,0.129,1,6.75,138.1685,32.8054,,,
1,1,1,8.25,125.6403,31.5985,,,
1,1,1,8.375,114.003,26.5226,,,
1,1,1,8.375,117.0589,25.3688,,,
0,0.96,0,4.125,232.125,41.0481,,,
0,0.858,0,3.75,226.5217,35.4936,,,
0,0.847,0,4.125,243.2233,28.181,,,
0,0.804,1,5.875,182.4927,93.8131,,,
0,0.775,0,2.5,148.89,28.29,,,
0,0.752,0,3.25,185.77,29.63,,,
0,0.682,0,4.5,244.4367,63.1987,,,
0,0.464,0,3.625,245.545,30.585,,,
0,0.429,0,3.5,230.295,25.6331,,,
0,0.424,0,3.5,239.5067,44.3592,,,
0,0.402,0,3.625,242.465,11.0913,,,
