Rate (Hz),ISI mean (ms),ISI std  (ms),PD,STIMU
7.75,134.4918,31.8023,0,1
6.75,154.615,64.5546,0,1
6.875,145.47,36.6565,0,1
6.75,147.4788,26.4668,0,1
6.25,153.9408,48.3909,0,1
6.125,147.3728,35.4049,0,1
6.125,141.7417,39.7721,0,1
6.75,128.0442,26.3289,0,1
6.875,134.8657,34.3346,0,1
5.5,178.365,50.6404,0,1
6.75,149.7193,42.3383,0,1
6.125,177.4942,65.6264,0,1
6.625,146.3452,50.3795,0,1
5.625,147.8887,34.9946,0,1
6.625,141.7483,41.567,0,1
6.875,135.1773,36.3629,0,1
5.875,161.7033,52.1664,0,1
6.25,148.2488,36.3178,0,1
6.25,142.619,40.8274,0,1
6.375,160.1277,46.3249,0,1
6.75,145.642,42.7739,0,1
6.875,134.716,35.1763,0,1
6.5,145.4567,48.9101,0,1
5.375,157.2333,49.5161,0,1
5.5,150.6357,38.0309,0,1
6.625,142.0923,34.9854,0,1
6.5,143.8198,37.3547,0,1
6.875,161.5373,45.6756,0,1
6.5,146.7108,47.1654,0,1
6.25,144.9932,41.5714,0,1
6.25,135.7207,22.789,0,1
6.75,145.3862,34.4707,0,1
6.5,157.3647,47.7658,0,1
6.5,148.1557,43.0431,0,1
6.5,141.6258,45.9963,0,1
5.75,157.5683,50.7894,0,1
5.875,137.0468,32.6234,0,1
6.25,145.2458,34.1509,0,1
7,128.4962,29.8522,0,1
5.875,139.763,33.156,0,1
6.75,142.1387,37.3855,0,1
6.625,145.1582,36.703,0,1
6.5,140.6987,31.9583,0,1
6.125,149.3532,39.4396,0,1
6.5,147.509,34.1585,0,1
5.75,159.8498,40.2333,0,1
6.25,140.8985,41.8811,0,1
4.125,168.3675,68.815,0,1
6.125,168.3433,60.127,0,1
5.75,163.6393,46.3761,0,1
6.5,145.3602,35.1155,0,1
5.625,179.8407,83.7539,0,1
6,161.307,49.1559,0,1
7.75,133.3273,36.5121,0,1
5.875,132.681,33.5628,0,1
6.875,131.9592,29.8557,0,1
6.25,149.6098,41.8569,0,1
6.5,136.4463,33.3747,0,1
6.125,159.8317,36.2816,0,1
7.625,133.012,37.8362,0,1
6.875,135.6125,34.2184,0,1
6.125,161.7628,63.4545,0,1
5.875,146.7317,27.1119,0,1
6.125,164.0558,44.7219,0,1
6,157.9483,50.7872,0,1
6.625,144.9375,39.7326,0,1
6.375,153.464,47.2353,0,1
6.625,135.488,32.3077,0,1
6.875,155.9315,53.5074,0,1
6.25,137.2638,37.3051,0,1
5.875,151.0743,45.0206,0,1
6.5,156.5045,36.662,0,1
6.75,145.727,37.2552,0,1
5.875,148.3783,41.4206,0,1
7.25,151.2633,40.3949,0,1
6.25,132.9833,41.7589,0,1
7,137.0205,39.7108,0,1
7.25,143.5152,34.1829,0,1
7,135.0415,33.2205,0,1
6,166.5112,50.3632,0,1
6.25,146.6098,45.8098,0,1
6.5,144.4265,44.4389,0,1
7.5,141.2102,40.3908,0,1
6.75,151.4333,41.113,0,1
7.25,143.2488,33.1823,0,1
6.375,140.7737,24.7561,0,1
6.5,139.861,31.6342,0,1
6.625,140.9897,35.743,0,1
6.75,133.3745,39.6803,0,1
6.625,136.541,37.4658,0,1
6.125,153.4785,47.7946,0,1
6,140.676,36.3395,0,1
6.75,133.2945,35.3329,0,1
7.25,137.7388,34.2962,0,1
5.25,150.494,39.4822,0,1
6.875,132.4645,24.8023,0,1
6.75,148.956,47.4871,0,1
5.75,155.5962,44.087,0,1
5.875,141.6015,37.0554,0,1
6.375,143.3172,52.1942,0,1
6,133.7635,40.5878,0,1
5.75,155.7027,47.8736,0,1
5.75,135.7017,41.0494,0,1
