PD,STIMU,Rate (Hz),ISI mean (ms),ISI std  (ms),mean mean diff,mean std diff,std mean diff ,std std diff,var diff mean,var std diff,mean mean FR,std mean Fr
0,1,7.75,134.4918,31.8023,2.431,2.3052,1.1378,1.2748,1.2945,1.625,0.9375,0.0857
0,1,6.75,154.615,64.5546,2.1719,2.5148,2.9817,2.3854,8.8907,5.6901,0.875,0.0661
0,1,6.875,145.47,36.6565,1.7698,2.5352,3.066,2.4376,9.4003,5.9418,0.925,0.109
0,1,6.75,147.4788,26.4668,4.0766,2.7546,2.569,3.4366,6.5997,11.8104,0.8875,0.1053
0,1,6.25,153.9408,48.3909,3.0656,2.2658,2.8493,3.1776,8.1184,10.097,0.8875,0.1269
0,1,6.125,147.3728,35.4049,1.8558,0.7481,2.1456,2.3564,4.6037,5.5528,0.925,0.0968
0,1,6.125,141.7417,39.7721,0.97,0.4318,1.1473,1.0413,1.3163,1.0842,0.9125,0.1269
0,1,6.75,128.0442,26.3289,2.7967,2.5105,2.1112,2.1164,4.4573,4.4793,0.925,0.0661
0,1,6.875,134.8657,34.3346,1.789,1.6285,2.8463,3.0163,8.1012,9.0978,0.9375,0.0696
0,1,5.5,178.365,50.6404,2.7255,2.5239,5.8806,6.6112,34.582,43.7078,0.8875,0.1053
0,1,6.75,149.7193,42.3383,-1.5249,1.9338,1.3072,4.1867,1.7087,17.5286,0.8875,0.19
0,1,6.125,177.4942,65.6264,3.7241,3.9154,4.789,5.6345,22.9345,31.7476,0.9125,0.0927
0,1,6.625,146.3452,50.3795,0.9787,1.2829,3.4407,4.5388,11.8381,20.6005,0.9625,0.0696
0,1,5.625,147.8887,34.9946,3.7875,3.6706,3.508,4.2641,12.3064,18.1829,0.9375,0.0857
0,1,6.625,141.7483,41.567,3.4301,3.918,2.4747,3.2553,6.1241,10.597,0.925,0.1392
0,1,6.875,135.1773,36.3629,2.6086,3.2631,1.0318,1.9246,1.0646,3.7042,0.9375,0.0992
0,1,5.875,161.7033,52.1664,1.2865,1.8948,2.9787,2.5619,8.8727,6.5635,0.925,0.0968
0,1,6.25,148.2488,36.3178,-0.0586,2.188,1.3079,1.9779,1.7107,3.9119,0.8875,0.0927
0,1,6.25,142.619,40.8274,0.9493,1.1959,2.2613,1.927,5.1135,3.7131,0.925,0.0661
0,1,6.375,160.1277,46.3249,2.678,1.9628,2.6953,2.1221,7.2648,4.5033,0.8875,0.1536
0,1,6.75,145.642,42.7739,1.2599,2.978,2.6249,6.2721,6.8899,39.3387,0.8625,0.0857
0,1,6.875,134.716,35.1763,1.8196,1.0167,1.3008,1.674,1.692,2.8024,0.95,0.0866
0,1,6.5,145.4567,48.9101,1.2194,1.2307,2.1714,1.124,4.715,1.2634,0.925,0.0661
0,1,5.375,157.2333,49.5161,1.0292,0.7746,0.7373,0.4916,0.5436,0.2417,0.925,0.0661
0,1,5.5,150.6357,38.0309,-1.2419,1.4917,2.0925,2.1711,4.3787,4.7136,0.925,0.0829
0,1,6.625,142.0923,34.9854,1.5301,1.1634,1.2682,0.995,1.6082,0.99,0.95,0.0707
0,1,6.5,143.8198,37.3547,1.996,1.8954,0.7623,1.0525,0.5811,1.1077,0.9125,0.1364
0,1,6.875,161.5373,45.6756,-1.2047,1.4818,0.9346,0.8317,0.8735,0.6917,0.875,0.0968
0,1,6.5,146.7108,47.1654,1.1238,2.0003,2.0218,3.5981,4.0878,12.9461,0.95,0.05
0,1,6.25,144.9932,41.5714,0.9333,2.1816,3.7,3.6184,13.6899,13.0929,0.9,0.0866
0,1,6.25,135.7207,22.789,15.4416,11.3936,56.7098,13.5132,3216.0063,182.6056,0.775,0.1984
0,1,6.75,145.3862,34.4707,1.1822,0.6045,1.0034,1.2422,1.0068,1.5432,0.9125,0.1364
0,1,6.5,157.3647,47.7658,1.5649,1.8182,2.3296,2.3046,5.4271,5.3113,0.925,0.109
0,1,6.5,148.1557,43.0431,2.0461,2.7458,1.4967,0.8984,2.24,0.8072,0.8625,0.0857
0,1,6.5,141.6258,45.9963,1.484,1.2154,1.0611,1.7606,1.1258,3.0998,0.9375,0.0696
0,1,5.75,157.5683,50.7894,1.3516,1.0654,2.5378,3.7593,6.4404,14.1326,0.875,0.1199
0,1,5.875,137.0468,32.6234,-3.0268,2.9233,2.1005,4.2085,4.4123,17.7117,0.8625,0.1218
0,1,6.25,145.2458,34.1509,2.1952,2.4146,1.8336,1.8328,3.3623,3.359,0.925,0.0829
0,1,7,128.4962,29.8522,3.32,3.1056,4.5736,5.4117,20.9179,29.2869,0.925,0.0968
0,1,5.875,139.763,33.156,1.1137,3.1314,1.3404,2.3997,1.7967,5.7584,0.8625,0.0696
0,1,6.75,142.1387,37.3855,10.7903,10.6831,41.0864,12.5923,1688.0885,158.5654,0.7625,0.2176
0,1,6.625,145.1582,36.703,1.7059,2.8328,1.9428,2.8902,3.7746,8.353,0.85,0.0866
0,1,6.5,140.6987,31.9583,0.155,1.9041,2.136,2.4799,4.5624,6.1499,0.875,0.1299
0,1,6.125,149.3532,39.4396,0.4597,1.063,0.9571,1.0041,0.9161,1.0081,0.8875,0.1269
0,1,6.5,147.509,34.1585,0.7541,0.6949,1.3145,0.9292,1.7278,0.8635,0.975,0.0829
0,1,5.75,159.8498,40.2333,1.616,2.5588,1.8625,3.1602,3.469,9.987,0.9125,0.1269
0,1,6.25,140.8985,41.8811,0.74,-0.1698,0.9573,1.1457,0.9164,1.3127,0.9375,0.1111
0,1,4.125,168.3675,68.815,3.0983,2.7389,1.7996,2.1946,3.2386,4.8164,0.9125,0.1053
0,1,6.125,168.3433,60.127,2.2179,1.7721,2.498,3.0465,6.2399,9.2812,0.9,0.1323
0,1,5.75,163.6393,46.3761,2.4246,1.9656,3.66,4.8037,13.3958,23.0753,0.95,0.0707
0,1,6.5,145.3602,35.1155,2.7329,2.0068,1.9512,1.9235,3.8073,3.7,0.9375,0.0992
0,1,5.625,179.8407,83.7539,0.8485,1.1263,1.1708,1.0947,1.3707,1.1984,0.9,0.1118
0,1,6,161.307,49.1559,2.3347,1.943,2.2802,1.7524,5.1992,3.0711,0.95,0.1118
0,1,7.75,133.3273,36.5121,2.8691,3.0832,1.4809,2.0556,2.193,4.2255,0.9625,0.0696
0,1,5.875,132.681,33.5628,1.4121,2.5508,3.2645,4.8652,10.6566,23.6706,0.9,0.0866
0,1,6.875,131.9592,29.8557,1.4078,1.3144,1.9367,1.4745,3.7509,2.1741,0.8875,0.1053
0,1,6.25,149.6098,41.8569,3.114,2.3696,2.3324,3.4106,5.4402,11.632,0.9375,0.1111
0,1,6.5,136.4463,33.3747,1.8213,2.4883,1.8904,2.4363,3.5738,5.9353,0.875,0.1299
0,1,6.125,159.8317,36.2816,3.5706,4.271,2.6873,3.5154,7.2218,12.3577,0.925,0.0829
0,1,7.625,133.012,37.8362,2.1163,1.1581,2.1331,1.9772,4.5502,3.9092,0.925,0.0829
0,1,6.875,135.6125,34.2184,1.1173,1.4357,1.3899,1.3001,1.9319,1.6903,0.925,0.1199
0,1,6.125,161.7628,63.4545,1.6895,1.2209,1.282,0.9636,1.6436,0.9285,0.925,0.0968
0,1,5.875,146.7317,27.1119,2.8468,2.5219,3.7087,4.1268,13.7542,17.0308,0.9,0.1225
0,1,6.125,164.0558,44.7219,1.0558,2.0796,3.2348,2.1531,10.4639,4.6358,0.8875,0.1615
0,1,6,157.9483,50.7872,7.4906,12.929,51.8462,19.8488,2688.0271,393.9752,0.7625,0.1932
0,1,6.625,144.9375,39.7326,2.0783,1.7068,2.0028,2.1574,4.0113,4.6543,0.9625,0.0696
0,1,6.375,153.464,47.2353,20.3282,14.0402,53.5284,15.8282,2865.2949,250.5332,0.75,0.2
0,1,6.625,135.488,32.3077,-2.8886,2.2614,2.6296,3.3512,6.9149,11.2309,0.9,0.1118
0,1,6.875,155.9315,53.5074,-1.4304,1.8396,1.4245,1.2865,2.0291,1.6552,0.8875,0.0781
0,1,6.25,137.2638,37.3051,1.7942,0.9338,0.9552,1.0068,0.9123,1.0137,0.875,0.1299
0,1,5.875,151.0743,45.0206,1.7283,0.8537,2.4366,2.0922,5.9368,4.3774,0.9125,0.1166
0,1,6.5,156.5045,36.662,3.4627,3.7119,2.2704,3.7376,5.1547,13.9695,0.925,0.0829
0,1,6.75,145.727,37.2552,2.2128,1.6027,2.233,2.3965,4.9863,5.743,0.8875,0.1965
0,1,5.875,148.3783,41.4206,1.3697,1.8826,2.3959,1.8498,5.7405,3.4219,0.9375,0.0857
0,1,7.25,151.2633,40.3949,1.1166,1.4092,2.0015,2.5776,4.0058,6.644,0.9375,0.0992
0,1,6.25,132.9833,41.7589,13.1793,7.4369,36.8496,8.2914,1357.8949,68.7467,0.8125,0.1833
0,1,7,137.0205,39.7108,2.0087,1.7735,1.4192,1.3641,2.0143,1.8607,0.9375,0.0696
0,1,7.25,143.5152,34.1829,2.3985,2.1297,1.6351,1.8045,2.6735,3.2562,0.9375,0.0992
0,1,7,135.0415,33.2205,1.0395,1.3729,1.6807,1.6326,2.8247,2.6655,0.925,0.0829
0,1,6,166.5112,50.3632,0.757,1.0887,1.1053,2.0448,1.2217,4.1813,0.9375,0.0857
0,1,6.25,146.6098,45.8098,0.6087,0.6494,0.9419,1.123,0.8871,1.2611,0.9125,0.1615
0,1,6.5,144.4265,44.4389,2.1158,2.4609,1.3935,1.5203,1.9418,2.3112,0.9125,0.1053
0,1,7.5,141.2102,40.3908,3.0108,2.6161,3.6521,3.8679,13.3379,14.9608,0.9125,0.0927
0,1,6.75,151.4333,41.113,1.0391,1.9135,1.622,3.0635,2.631,9.385,0.9375,0.0857
0,1,7.25,143.2488,33.1823,1.5707,0.9112,0.7375,1.78,0.5439,3.1684,0.9375,0.1111
0,1,6.375,140.7737,24.7561,0.2927,1.5049,1.2286,2.3529,1.5095,5.5359,0.9,0.1118
0,1,6.5,139.861,31.6342,3.2393,2.8325,1.087,1.5601,1.1817,2.434,0.9125,0.1452
0,1,6.625,140.9897,35.743,2.6472,1.8226,2.0313,2.6736,4.1261,7.1484,0.9375,0.1111
0,1,6.75,133.3745,39.6803,0.9129,1.0639,1.2497,1.1845,1.5618,1.4029,0.9375,0.0992
0,1,6.625,136.541,37.4658,0.9065,2.0484,0.9463,1.8268,0.8955,3.3371,0.925,0.0661
0,1,6.125,153.4785,47.7946,0.3284,0.6717,1.4915,1.7849,2.2246,3.1858,0.9125,0.0927
0,1,6,140.676,36.3395,-0.032,2.688,1.8753,2.1767,3.5167,4.7378,0.8875,0.1053
0,1,6.75,133.2945,35.3329,2.3823,2.4573,3.5887,4.353,12.8784,18.9485,0.9375,0.0696
0,1,7.25,137.7388,34.2962,0.9253,2.1566,1.9656,1.7737,3.8634,3.1462,0.9125,0.0927
0,1,5.25,150.494,39.4822,1.8073,1.491,2.0356,1.5356,4.1438,2.358,0.925,0.0829
0,1,6.875,132.4645,24.8023,1.7606,2.547,3.1315,4.1313,9.8066,17.0678,0.95,0.0866
0,1,6.75,148.956,47.4871,1.4103,1.3052,0.4329,1.2806,0.1874,1.64,0.9375,0.1111
0,1,5.75,155.5962,44.087,1.6676,0.9972,1.8555,2.9264,3.4429,8.5636,0.925,0.109
