timestamp,LshoulderP,LshoulderR,LelbowY,LelbowR,LwristY
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.08,0.0,0.0,-0.0,0.0,0.0
0.1,0.0,0.0,-0.0,0.0,0.0
0.12,0.044,0.007,-0.072,-0.0,-0.0
0.34,0.093,0.013,-0.432,0.0,0.0
0.42,0.099,0.013,-0.672,0.0,0.0
0.48,0.1,0.014,-0.792,0.0,-0.0
0.5,0.1,0.014,-0.792,0.0,-0.0
0.58,0.1,0.014,-0.912,0.0,0.0
0.66,0.101,0.014,-1.152,0.0,0.0
0.68,0.101,0.014,-1.152,0.0,0.0
0.8,0.101,0.014,-1.392,0.0,-0.0
0.86,0.101,0.014,-1.512,0.0,0.0
0.9,0.101,0.014,-1.632,0.0,-0.0
0.92,0.101,0.014,-1.632,0.0,-0.0
1.0,0.101,0.014,-1.752,0.0,-0.0
1.1,0.101,0.014,-1.974,0.0,-0.0
1.12,0.101,0.014,-1.974,0.0,-0.0
1.1400000000000001,0.101,0.014,-2.029,0.0,0.0
1.1400000000000001,0.101,0.014,-2.029,0.0,0.0
1.1400000000000001,0.101,0.014,-2.029,0.0,0.0
1.1400000000000001,0.101,0.014,-2.029,0.0,0.0
1.1400000000000001,0.101,0.014,-2.029,0.0,0.0
1.1400000000000001,0.101,0.014,-2.029,0.0,0.0
1.1400000000000001,0.101,0.014,-2.029,0.0,0.0
1.1400000000000001,0.101,0.014,-2.029,0.0,0.0
1.3,0.101,0.014,-2.071,0.0,-0.0
1.3,0.101,0.014,-2.071,0.0,-0.0
1.3,0.101,0.014,-2.071,0.0,-0.0
1.3,0.101,0.014,-2.071,0.0,-0.0
1.3,0.101,0.014,-2.071,0.0,-0.0
1.32,0.101,0.014,-2.078,0.0,0.0
1.32,0.101,0.014,-2.078,0.0,0.0
1.32,0.101,0.014,-2.078,0.0,0.0
1.32,0.101,0.014,-2.078,0.0,0.0
1.34,0.101,0.014,-2.078,0.0,0.0
1.34,0.101,0.014,-2.078,0.0,0.0
1.34,0.101,0.014,-2.078,0.0,0.0
1.36,0.101,0.014,-2.078,0.0,0.0
1.36,0.101,0.014,-2.078,0.0,0.0
1.36,0.101,0.014,-2.078,0.0,0.0
1.36,0.101,0.014,-2.078,0.0,0.0
1.36,0.101,0.014,-2.078,0.0,0.0
1.36,0.101,0.014,-2.078,0.0,0.0
1.36,0.101,0.014,-2.078,0.0,0.0
1.3800000000000001,0.101,0.014,-2.082,0.0,-0.0
1.3800000000000001,0.101,0.014,-2.082,0.0,-0.0
1.3800000000000001,0.101,0.014,-2.082,0.0,-0.0
1.3800000000000001,0.101,0.014,-2.082,0.0,-0.0
1.3800000000000001,0.101,0.014,-2.082,0.0,-0.0
