timestamp,LshoulderP,LshoulderR,LelbowY,LelbowR,LwristY
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.06,0.0,0.0,-0.0,0.0,0.0
0.18,0.36,0.023,-0.36,-0.36,0.0
0.3,0.825,0.029,-0.692,-0.839,0.0
0.42,1.018,0.031,-0.783,-1.1,0.0
0.54,1.068,0.031,-0.807,-1.168,-0.0
0.66,1.082,0.031,-0.813,-1.186,-0.0
0.78,1.085,0.031,-0.815,-1.191,-0.0
0.9,1.086,0.031,-0.815,-1.192,0.0
1.02,1.086,0.031,-0.815,-1.192,0.0
1.1400000000000001,1.086,0.031,-0.815,-1.192,-0.0
1.26,1.086,0.031,-0.815,-1.192,-0.0
1.3800000000000001,1.086,0.031,-0.815,-1.192,-0.0
1.5,1.086,0.031,-0.815,-1.192,0.0
1.62,1.086,0.031,-0.815,-1.192,0.0
